station_id,station_name,n_observations
0,"GRAYLING, MI US",31
1,"PORT AUSTIN WWTP, MI US",62
2,"MILAN WWTP, MI US",30
3,"FREMONT 4 WSW, MI US",96
4,"PONTIAC WWTP, MI US",90
5,"MONTAGUE 4 NW, MI US",59
6,"WHITMORE LAKE 1 NW, MI US",93
7,"ISHPEMING WWTP, MI US",70
8,"SPINCICH LAKE MICHIGAN, MI US",92
9,"GOODRICH, MI US",97
10,"OWOSSO WWTP, MI US",95
11,"PORT HURON, MI US",77
12,"KALKASKA, MI US",79
13,"DETOUR VILLAGE, MI US",84
14,"KEARSARGE, MI US",89
15,"PICKFORD 3 NE, MI US",97
16,"GLENNIE 2 SE, MI US",95
17,"DOE LAKE MICHIGAN, MI US",93
18,"PARADISE, MI US",94
19,"ORTONVILLE 2.5 SW, MI US",93
20,"BOYNE FALLS, MI US",40
21,"GARDEN CORNERS, MI US",97
22,"SALINE 4 SW, MI US",88
23,"VANDERBILT 11 ENE, MI US",77
24,"SAGINAW NUMBER 3, MI US",96
25,"NW MICHIGAN RESEARCH FARM, MI US",92
26,"CHATHAM 1 SE, MI US",93
27,"MUNSING LAKESHORE, MI US",97
28,"GAYLORD 9 SSW, MI US",190
29,"NORTHPORT 2 W, MI US",96
30,"CHEBOYGAN, MI US",77
31,"DETROIT WILLOW RUN AIRPORT, MI US",97
32,"TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US",97
33,"ANN ARBOR MUNICIPAL AIRPORT, MI US",97
34,"SAULT STE MARIE SANDERSON FIELD, MI US",97
35,"CASS CITY 1 SSW, MI US",92
36,"ADRIAN 2 NNE, MI US",73
37,"HASTINGS, MI US",95
38,"MORENCI, MI US",76
39,"CHATHAM EXPERIMENT FARM 2, MI US",94
40,"IRON MOUNTAIN FORD AIRPORT, MI US",93
41,"PORT HOPE, MI US",97
42,"COPPER HARBOR, MI US",95
43,"HANCOCK HOUGHTON CO AIRPORT, MI US",97
44,"BURTON 4 N, MI US",75
45,"LAPEER 2 W, MI US",97
46,"ENGADINE MDOT, MI US",94
47,"LAPEER WWTP, MI US",97
48,"DOWAGIAC 1 W, MI US",31
49,"HOLLAND TULIP CITY AIRPORT, MI US",96
50,"STAMBAUGH 2 SSE, MI US",97
51,"GRANDVILLE 1 SW, MI US",85
