STATION,NAME,Year,Month,TAVG_mean,TAVG_std,N_days,TMAX_mean,TMIN_mean
US1MIAG0006,"MUNISING 11.1 SSW, MI US",2026,1,,,0,,
US1MIAG0006,"MUNISING 11.1 SSW, MI US",2026,2,,,0,,
US1MIAG0006,"MUNISING 11.1 SSW, MI US",2026,3,,,0,,
US1MIAG0006,"MUNISING 11.1 SSW, MI US",2026,4,,,0,,
US1MIAG0008,"AU TRAIN 7.8 NW, MI US",2026,1,,,0,,
US1MIAG0008,"AU TRAIN 7.8 NW, MI US",2026,2,,,0,,
US1MIAG0008,"AU TRAIN 7.8 NW, MI US",2026,3,,,0,,
US1MIAG0009,"WETMORE 12.7 S, MI US",2026,1,,,0,,
US1MIAG0009,"WETMORE 12.7 S, MI US",2026,3,,,0,,
US1MIAG0009,"WETMORE 12.7 S, MI US",2026,4,,,0,,
US1MIAN0004,"FENNVILLE 0.8 W, MI US",2026,1,,,0,,
US1MIAN0004,"FENNVILLE 0.8 W, MI US",2026,2,,,0,,
US1MIAN0004,"FENNVILLE 0.8 W, MI US",2026,3,,,0,,
US1MIAN0004,"FENNVILLE 0.8 W, MI US",2026,4,,,0,,
US1MIAN0015,"DORR 0.4 E, MI US",2026,3,,,0,,
US1MIAN0015,"DORR 0.4 E, MI US",2026,4,,,0,,
US1MIAN0019,"SAUGATUCK 0.6 E, MI US",2026,1,,,0,,
US1MIAN0019,"SAUGATUCK 0.6 E, MI US",2026,2,,,0,,
US1MIAN0019,"SAUGATUCK 0.6 E, MI US",2026,3,,,0,,
US1MIAN0019,"SAUGATUCK 0.6 E, MI US",2026,4,,,0,,
US1MIAN0025,"PLAINWELL 0.5 WSW, MI US",2026,1,,,0,,
US1MIAN0025,"PLAINWELL 0.5 WSW, MI US",2026,2,,,0,,
US1MIAN0025,"PLAINWELL 0.5 WSW, MI US",2026,3,,,0,,
US1MIAN0025,"PLAINWELL 0.5 WSW, MI US",2026,4,,,0,,
US1MIAN0027,"OTSEGO 0.9 WNW, MI US",2026,1,,,0,,
US1MIAN0027,"OTSEGO 0.9 WNW, MI US",2026,2,,,0,,
US1MIAN0027,"OTSEGO 0.9 WNW, MI US",2026,3,,,0,,
US1MIAN0027,"OTSEGO 0.9 WNW, MI US",2026,4,,,0,,
US1MIAN0029,"ALLEGAN 0.3 NNW, MI US",2026,1,,,0,,
US1MIAN0029,"ALLEGAN 0.3 NNW, MI US",2026,2,,,0,,
US1MIAN0029,"ALLEGAN 0.3 NNW, MI US",2026,3,,,0,,
US1MIAN0029,"ALLEGAN 0.3 NNW, MI US",2026,4,,,0,,
US1MIAP0001,"ALPENA 1.6 SSW, MI US",2026,1,,,0,,
US1MIAP0001,"ALPENA 1.6 SSW, MI US",2026,2,,,0,,
US1MIAP0001,"ALPENA 1.6 SSW, MI US",2026,3,,,0,,
US1MIAP0001,"ALPENA 1.6 SSW, MI US",2026,4,,,0,,
US1MIAR0002,"ALGER 2.4 ENE, MI US",2026,1,,,0,,
US1MIAR0002,"ALGER 2.4 ENE, MI US",2026,2,,,0,,
US1MIAR0002,"ALGER 2.4 ENE, MI US",2026,3,,,0,,
US1MIAR0003,"TAWAS CITY 9.3 SSW, MI US",2026,1,,,0,,
US1MIAR0003,"TAWAS CITY 9.3 SSW, MI US",2026,2,,,0,,
US1MIAR0003,"TAWAS CITY 9.3 SSW, MI US",2026,3,,,0,,
US1MIAT0006,"MANCELONA 0.5 ESE, MI US",2026,1,,,0,,
US1MIAT0006,"MANCELONA 0.5 ESE, MI US",2026,2,,,0,,
US1MIAT0006,"MANCELONA 0.5 ESE, MI US",2026,3,,,0,,
US1MIAT0006,"MANCELONA 0.5 ESE, MI US",2026,4,,,0,,
